Title,Author,Type,ISBN,CheckOut Date
Rave New World,Aldous Huxle,adult,4583453421062,3/21/16
A Clockwork Orange,Anthony Burgess,adult,4706662801533,4/4/16
Anthem,Ayn Rand,adult,3125752466401,4/5/16
Atlas Shrugged,Ayn Rand,adult,8112018360199,
The Fountainhead,Ayn Rand,adult,7559986684011,
We The Living,Ayn Rand,adult,5749164716862,
C Programming Language,Brian W Kernighan,adult,2945947428197,
The Heart Is A Lonely Hunter,Carson McCullers,adult,8010612622535,
Greenmantle,Charles de Lint,adult,1876365974423,
Memory And Dream,Charles de Lint,adult,2807795552542,
Moonheart,Charles de Lint,adult,3218331958511,4/8/16
Mulengro,Charles de Lint,adult,1939100010440,
Someplace To Be Flying,Charles de Lint,adult,6398407958860,
The Little Country,Charles de Lint,adult,2775030037933,
Trader,Charles de Lint,adult,7053105481163,
Yarrow,Charles de Lint,adult,6624158283168,
Blood Meridian,Cormac McCarth,adult,8697779874635,
Suttree,Cormac McCarth,adult,5508913705926,
The Hitchhiker's Guide To The Galaxy,Douglas Adams,adult,8192507085440,
The Worm Ourooros,ER Eddison,adult,4624654346875,
A Farewell To Arms,Ernest Hemingwa,adult,3999772764155,
The Sun Also Rises,Ernest Hemingway,adult,2570514897392,
Brideshead Revisited,Eveln Waugh,adult,4509007625562,
The Great Gatsy,F Scott Fitzgerald,adult,4622993705409,
At SwimTwoBirds,Flann O'Brien,adult,9714515211169,
Wise Lood,Flannery O'Connor,adult,5281696682579,
Dune,Frank Herbert,adult,5783111330589,
1984,George Orwell,adult,1859516973558,4/9/16
Animal Farm,George Orwell,adult,5034320902552,
Just Enough C/C ++ Programming,Guy W LeckyThompson,adult,3788578308615,
At The Mountains Of Madness,HP Lovecraft,adult,5568648814634,
To Kill A Mockingird,Harper Lee,adult,8459752862648,
Tropic Of Cancer,Henr Miller,adult,3604825284354,
The Catcher In The Rye,JD Salinger,adult,4696949853834,
Lord Of The Rings,JRR Tolkien,adult,9510185789244,
The Lord Of The Rings,JRR Tolkien,adult,3588897764344,
On The Road,Jack Kerouac,adult,8632467663802,
The Call Of The Wild,Jack London,adult,3351991601174,
Beginning C For Arduino,Jack Purdum,adult,6950631372073,
Shane,Jack Schaefer,adult,6530790249053,
A Portrait Of The Artist As A Young Man,James Joyce,adult,4183562775273,
Ulysses,James Joyce,adult,9283206986691,
The French Lieutenant'S Woman,John Fowles,adult,6192508391736,
The Magus,John Fowles,adult,4620148060485,
A Prayer For Owen Meany,John Irving,adult,4503735810942,
The World According To Garp,John Irving,adult,6482436066796,
The Grapes Of Wrath,John Steinbeck,adult,2999714785502,
Heart Of Darkness,Joseph Conrad,adult,4346845850514,
Catch22,Joseph Heller,adult,1659039086225,
One Flew Over The Cuckoo'S Nest,Ken Kese,adult,5237956978639,
Sometimes A Great Notion,Ken Kese,adult,1891355064893,
Slaughterhouse Five,Kurt Vonnegut,adult,1726006270958,
Battlefield Earth,L Ron Hubbard,adult,2998843141838,
Fear,L Ron Hubbard,adult,3358788879536,
Mission Earth,L Ron Hubbard,adult,1144507391386,
